Sno,Party Name,Party Account no,Party Bank Name,Party Bank Branch,Party Bank Ifsc Code,Party Amount
1,Vijayasri Organics Ltd Plot No.9 Jnpc Parawada Visakhapatnam,62224129087,STATE BANK OF HYDERABAD,"APIIC COLONY, JEEDIMETLA",SBHY0020400,7087170
2,Wolkem India Limited 235 236 237 & 239Butchayyapeta Kasimkota  Visakhapatnam,51033877869,STATE BANK OF BIKANER AND JAIPUR,"CHTAK CIRCLE, UDAIPUR",SBBJ0010209,1143360
3,Harmony Foods Pvt Ltd Plot No.29 E-Block Autonagar Gajuwaka Visakhapatnam,0462008700003457,PUNJAB NATINOAL BANK,"LIC BUILDING, VISAKHAPATNAM",PUNB0046200,834710
4,Vegesna Laboratories Pvt Ltd Plot No.7 Sy.No..156 To 161 Jnpc Parawada Visakhapatnam,193010300000347,AXIST BANK LTD,"KUKATPALLY BRANCH, HYD",UTIB0000193,1053190
5,Vegesna Laboratories Pvt Ltd Plot No.7 Jnpc Parawada Visakhapatnam,193010300000347,AXIST BANK LTD,"KUKATPALLY BRANCH, HYD",UTIB0000193,568570
6,Vamsadhara Paper Mill Limited Madapam   Narasannapeta  Srikakulam Dist,356030700003283,SYNDICATE BANK,SRIKAKULAM,SYNB0003560,2617940
7,Sri Sai Industrial Gases Pvt Ltd Plot No.24 Ida Parawada Visakhapatnam,62273532249,STATE BANK OF HYDERABAD,JNPC PARWADA,SBHY0021123,1514230
8,Sionc Pharmaceuticals Pvt Ltd Plot No.34-A Road No.1 Jnpc Parawada Visakhapatnam,035111100000210,Andhra Bank,"Maharanipeta branch, Visakhapatnam",ANDB0000351,100030
9,Eisai PharmatechNo.logy And Manufacturing  Ltd Sez Parawada Visakhapatnam,12438640000015,HDFC BANK LTD,"DABAGARDEN, VISAKHAPATNAM",HDFC001243,1593540
10,Deccan Fine Chemicals  Pvt LtdKesavaram  Payakaraopet  Visakhapatnam,2377201000116,CANARA BANK,"OVERSEAS BRANCH, VISAKHAPATNAM",CNRB0002377,7719020
11,Radha Kameswari Print Pack Pvt Ltd Sy.No..230/3 & 230/6 Vellanki  Anandapuram  Visakhapatnam,024530100017663,Andhra Bank,"PITAPURAM COLONY BRANCH, VISAKHAPATNAM",ANDB0000245,247260
12,Pharmazell  Pvt Ltd Plot No.115 Ramky Pharmacity  Ltd Sez Parawada Visakhapatnam,04178640000057,HDFC BANK LTD,"JAGADAMBA CENTRE, VISAKHAPATNAM",HDFC0000417,2182870
13,Harmony Foods PvtLtd Plot No.29 E-Block Autonagar Gajuwaka Visakhapatnam,0462008700003457,PUNJAB NATINOAL BANK,"LIC BUILDING, VISAKHAPATNAM",PUNB0046200,4282070
14,Wolkem India Limited 235236237239 Butchayyapeta  Kasimkota  Visakhapatnam,51033877869,STATE BANK OF BIKANER AND JAIPUR,"CHTAK CIRCLE, UDAIPUR",SBBJ0010209,408690
15,Amrutha Sri Water Plant Plot No.76 Apiic Growth Centre Bobbili Vizianagaram District,573201010050059,UNION BANK OF INDA,BOBBILI,UBIN0557323,59260
16,Aurobindo Pharma Ltd  Sy No.: 61-69 Pydibhemavaram  Ranstalam  Srikakulam Dist,10210110000049,HDFC BANK LTD,"LAKIDIKAPUL, HYDERABAD",HDFC000021,12972660
17,Hi-Tech India Plot No.104E Bonangi  Industrial Park Visakhapatnam,65018323871,STATE BANK OF PATIALA,"VASHI BRANCH, MUMBAI",STBP0000727,1068160
18,Visakha Solvents Ltd Plot No.84A Cetp Area Jnpc Parawada Visakhapatnam,222002000001033,INDIAN OVERSEAS BANK,"BANJARAHILLS BRANCH, HYDERABAD",IOBA0002220,65640
19,Vamsadara Paper MillsLtd  Madapam  Srikakulam Dist,356030700003283,SYNDICATE BANK,SRIKAKULAM,SYNB0003560,5405530
20,Sahuwala High Pressure Cylinde Ltd SNo.42 G-Block Autonagar Visakhapatnam,6311482214,KOTAK MAHINDRA BANK LTD,VISAKHAPATNAM,KKBK0000556,5590240
21,Wolkem India Limited Sy.No..235/237 Butchayyapeta  Kasimkota  Visakhapatnam,51033877869,STATE BANK OF BIKANER AND JAIPUR,"CHTAK CIRCLE, UDAIPUR",SBBJ0010209,426770
22,Tejasri PolymePvt Ltd Plot No.98 Industrial Park Prawada Visakhapatnam,70873301,SYNDICATE BANK,VISAKHAPATNAM,SYNB0003580,1179310
